naslov,cena,starost,proizvajalec,letnik,velikost okvirja,material,velikost obročev,dolžina opisa,kategorija,posodobljeno,ogledi
Mongoose Boot'R,1.100 €,Rabljeno,Mongoose,2013,M,Aluminij,26 col,442,Downhill in Freeride kolesa,01.08.2025,608
Mondraker dune xr,2.500 €,Rabljeno,Mondraker,2019,L,Karbon,27.5 col (650b),193,Enduro kolesa,06.10.2025,97
Mondraker Factor 24,1.000 €,Rabljeno,Mondraker,2020,Univerzalna velikost,Aluminij,24 col,634,Trail in All-Mountain kolesa,06.10.2025,296
specialized rockhopper expert,600 €,Rabljeno,Specialized,2024,S,Aluminij,27.5 col (650b),155,Prednje vzmetena / XC kolesa,04.09.2025,217
Specialized stumpjumper EVO,1.750 €,Rabljeno,Specialized,2019,S,Aluminij,27.5 col (650b),159,Enduro kolesa,12.09.2025,246
Specialized Fuse Expert 6Fattie,800 €,Rabljeno,Specialized,2016,L,Aluminij,27.5 col (650b),974,Prednje vzmetena / XC kolesa,19.07.2025,288
Transition Spire,2.200 €,Rabljeno,Transition,2022,M,Aluminij,29 col,2268,Enduro kolesa,25.08.2025,216
Giant reign,2.350 €,Rabljeno,Giant,2019,S,Aluminij,27.5 col (650b),149,Enduro kolesa,19.09.2025,480
Scott genious 920,2.000 €,Rabljeno,Scott,2018,M,Karbon,29 col,340,Trail in All-Mountain kolesa,06.10.2025,78
Banahee titan L,2.000 €,Rabljeno,Ostalo,2023,L,Aluminij,29 col,252,Enduro kolesa,19.08.2025,148
GIANT,350 €,Rabljeno,Giant,2010 ali starejši,L,Aluminij,26 col,182,Enduro kolesa,02.10.2025,227
Specialized Demo 8 fsr,1.600 €,Rabljeno,Specialized,2018,L,Aluminij,27.5 col (650b),392,Downhill in Freeride kolesa,27.08.2025,427
Trek Fuel ex 5,1.550 €,Rabljeno,Trek,2023,XL,Aluminij,29 col,1408,Enduro kolesa,09.10.2025,539
Canyon Torque DH,2.600 €,Rabljeno,Canyon,2025,S,Aluminij,Mullet (29 in 27.5),285,Downhill in Freeride kolesa,01.10.2025,285
Mondraker dune rr,550 €,Rabljeno,Mondraker,2016,M,Aluminij,26 col,59,Enduro kolesa,28.09.2025,323
Cube stereo m,1.150 €,Rabljeno,Cube,2018,M,Karbon,27.5 col (650b),90,Trail in All-Mountain kolesa,22.08.2025,319
Kona Stinky,300 €,Rabljeno,Kona,2010 ali starejši,M,Aluminij,26 col,214,Downhill in Freeride kolesa,12.08.2025,604
TREK PROCALIBER 9.7,1.750 €,Rabljeno,Trek,2023,M,Karbon,29 col,2003,Prednje vzmetena / XC kolesa,24.08.2025,153
"Cannondale JEKYLL enduro KARBON, polnovzmeteno vrhunsko kolo, NEON ORANGE",1.850 €,Rabljeno,Cannondale,2020,M,Karbon,27.5 col (650b),2319,Enduro kolesa,22.09.2025,28
Gorsko kolo Cult Freefun,290 €,Rabljeno,Cult,2014,L,Aluminij,26 col,42,Prednje vzmetena / XC kolesa,30.09.2025,8
ghost,1.100 €,Rabljeno,Ghost,2020,M,Aluminij,27.5 col (650b),479,Enduro kolesa,27.07.2025,421
GT Zaskar,300 €,Rabljeno,GT,2011,M,Aluminij,26 col,162,Trail in All-Mountain kolesa,08.09.2025,236
Pells tarpan AM 29,2.399 €,Novo,Ostalo,2024,L,Aluminij,29 col,406,Enduro kolesa,06.08.2025,26
Scott Genius 710 KARBON,1.100 €,Rabljeno,Scott,2017,L,Karbon,27.5 col (650b),223,Enduro kolesa,30.09.2025,39
Scott voltage fr 720,1.099 €,Rabljeno,Scott,2019,M,Aluminij,27.5 col (650b),271,Downhill in Freeride kolesa,28.09.2025,141
Scott Spark 10,700 €,Rabljeno,Scott,2012,M,Karbon,26 col,131,Trail in All-Mountain kolesa,28.08.2025,381
GIANT LIV TEMPT 29 1,690 €,Rabljeno,Giant,2023,M,Aluminij,29 col,203,Prednje vzmetena / XC kolesa,03.10.2025,215
YT CAPRA AL 2018,2.100 €,Rabljeno,YT,2018,M,Aluminij,27.5 col (650b),182,Enduro kolesa,22.08.2025,418
Transition Spire,5.500 €,Novo,Transition,2025,L,Karbon,29 col,290,Enduro kolesa,12.10.2025,35
Yt capra axs,3.150 €,Rabljeno,YT,2024,XL,Karbon,29 col,625,Enduro kolesa,16.09.2025,153
Kolo KTM Penny Lane 271 XL,594 €,Novo,KTM,2023,XL,Aluminij,27.5 col (650b),449,Prednje vzmetena / XC kolesa,12.10.2025,945
IBIS RIPMO AF 2025,4.248 €,Novo,Ibis,2025,Na voljo v več velikostih,Aluminij,Na voljo v več velikostih,945,Enduro kolesa,10.10.2025,107
GHOST Riot EN Essential,1.750 €,Rabljeno,Ghost,2022,L,Aluminij,29 col,991,Enduro kolesa,06.10.2025,458
Trek Procaliber 8,700 €,Rabljeno,Trek,2018,M,Aluminij,29 col,154,Prednje vzmetena / XC kolesa,22.09.2025,245
"MTB karbon Rose 2016, teža 9,8kg",1.100 €,Rabljeno,Ostalo,2016,M,Karbon,27.5 col (650b),847,Prednje vzmetena / XC kolesa,11.10.2025,218
"PROPAIN SPINDRIFT 29 col, velikost M - odličen",2.800 €,Rabljeno,Ostalo,2022,M,Aluminij,29 col,693,Enduro kolesa,20.09.2025,108
Cube Reaction c:62 pro,990 €,Rabljeno,Cube,2019,XXL,Karbon,29 col,927,Prednje vzmetena / XC kolesa,15.09.2025,83
Ghost Riot Trail 2022,1.750 €,Rabljeno,Ghost,2022,M,Aluminij,29 col,257,Trail in All-Mountain kolesa,23.07.2025,65
GIANT,60 €,Rabljeno,Giant,2017,S,Jeklo,26 col,40,Prednje vzmetena / XC kolesa,15.08.2025,329
Ghost Lector 2.9,850 €,Rabljeno,Ghost,2018,M,Karbon,29 col,749,Prednje vzmetena / XC kolesa,26.09.2025,165
GORSKO KOLO RANSOM 930 21 SCOTT L,1.800 €,Rabljeno,Scott,2021,L,Aluminij,29 col,497,Enduro kolesa,12.09.2025,85
blizzard xcm 30-29,1.250 €,Rabljeno,Ostalo,2023,M,Aluminij,29 col,502,Prednje vzmetena / XC kolesa,27.07.2025,224
Giant,1.800 €,Rabljeno,Giant,2021,XL,Aluminij,29 col,362,Trail in All-Mountain kolesa,15.09.2025,132
Giant Trance 1.5 LTD,900 €,Rabljeno,Giant,2017,L,Aluminij,27.5 col (650b),79,Trail in All-Mountain kolesa,03.08.2025,905
GT Zaskar 2018/29 col,1.250 €,Rabljeno,GT,2018,M,Karbon,29 col,224,Prednje vzmetena / XC kolesa,30.07.2025,75
Trek Supercaliber 9.9 XTR 2023,5.500 €,Rabljeno,Trek,2023,L,Karbon,29 col,192,Prednje vzmetena / XC kolesa,09.08.2025,191
"Storck Rebelion 1.0, M-velikost",1.100 €,Rabljeno,Ostalo,2013,M,Karbon,26 col,718,Prednje vzmetena / XC kolesa,11.10.2025,81
Propain Spindrift,2.990 €,Rabljeno,Ostalo,2022,L,Aluminij,27.5 col (650b),378,Enduro kolesa,08.10.2025,322
struževo 14a,1.100 €,Rabljeno,Specialized,2018,M,Aluminij,27.5 col (650b),73,Enduro kolesa,27.09.2025,125
Identiti Mogul Downhill XS/S,880 €,Rabljeno,Ostalo,2017,S,Aluminij,26 col,130,Downhill in Freeride kolesa,06.09.2025,399
Lappiere zesty,1.300 €,Rabljeno,Lapierre,2018,M,Aluminij,27.5 col (650b),77,Enduro kolesa,10.09.2025,41
Specialized STATUS 160 vel. M,2.000 €,Rabljeno,Specialized,2023,M,Aluminij,Mullet (29 in 27.5),461,Enduro kolesa,10.10.2025,871
SPECIALIZED STUMPJUMPER,799 €,Rabljeno,Specialized,2016,M,Aluminij,27.5 col (650b),197,Enduro kolesa,04.10.2025,78
"Marin Rift Zone Jr 24 - MTB, enduro, DH kolo (24'' col) - letnik 2024",1.700 €,Rabljeno,Marin,2024,XXS,Aluminij,24 col,3104,Enduro kolesa,30.09.2025,57
"Scott ransom 930, 2019",2.500 €,Rabljeno,Scott,2019,S,Aluminij,29 col,87,Enduro kolesa,22.09.2025,165
Evil insurgemt,2.200 €,Rabljeno,Evil,2020,M,Karbon,27.5 col (650b),204,Enduro kolesa,24.09.2025,83
Cube carbon,1.800 €,Rabljeno,Cube,2024,XS,Karbon,29 col,570,Prednje vzmetena / XC kolesa,08.10.2025,12
Cube Attention SL,520 €,Rabljeno,Cube,2018,M,Aluminij,29 col,261,Prednje vzmetena / XC kolesa,25.08.2025,125
Marin hawk hill 2,1.100 €,Rabljeno,Marin,2020,XL,Aluminij,27.5 col (650b),820,Trail in All-Mountain kolesa,09.10.2025,185
Trek Session R1,3.490 €,Rabljeno,Trek,2023,S,Aluminij,29 col,300,Downhill in Freeride kolesa,22.09.2025,125
Prodajem Liteville301,1.700 €,Rabljeno,Liteville,Neznan,M,Titan,26 col,230,Enduro kolesa,24.09.2025,37
Lapierre 572,1.200 €,Rabljeno,Lapierre,2018,M,Aluminij,27.5 col (650b),231,Enduro kolesa,30.08.2025,64
Kolo scott 26col,100 €,Rabljeno,Scott,2012,L,Aluminij,26 col,54,Prednje vzmetena / XC kolesa,31.07.2025,98
Merida kolo,1.350 €,Rabljeno,Merida,2020,S,Aluminij,27.5 col (650b),178,Enduro kolesa,30.09.2025,404
Kolo Cube reaction pro,960 €,Rabljeno,Cube,2021,L,Aluminij,29 col,299,Prednje vzmetena / XC kolesa,11.09.2025,213
"Trek Session 9 29"" 2023 Downhill Bike",3.500 €,Rabljeno,Trek,2023,L,Aluminij,29 col,2698,Downhill in Freeride kolesa,14.09.2025,329
Giant stance,750 €,Rabljeno,Giant,2021,XL,Aluminij,29 col,213,Enduro kolesa,25.09.2025,310
HEAD RIDOTT 26 col,125 €,Rabljeno,Ostalo,2021,Univerzalna velikost,Aluminij,26 col,287,Prednje vzmetena / XC kolesa,10.10.2025,86
"Otroško kolo 26""",500 €,Rabljeno,Ostalo,Neznan,Univerzalna velikost,Jeklo,26 col,44,Enduro kolesa,23.09.2025,132
Giant Glory,1.200 €,Rabljeno,Giant,2018,M,Aluminij,27.5 col (650b),65,Downhill in Freeride kolesa,14.07.2025,640
"29COL FULL SUSPENSION KOLO FOCUS SUPER BUD, M, FOX VZMETENJE, NAREJEN SERVIS",550 €,Rabljeno,Focus,2018,M,Aluminij,29 col,397,Trail in All-Mountain kolesa,09.10.2025,390
SCOTT SCALE 740,720 €,Rabljeno,Scott,Neznan,S,Aluminij,27.5 col (650b),288,Prednje vzmetena / XC kolesa,28.07.2025,458
KLIMANJARO BIGBEN 29,320 €,Rabljeno,Ostalo,2016,XL,Aluminij,29 col,162,Prednje vzmetena / XC kolesa,25.08.2025,654
Scott Ransom 930 2023 / 2024 L,1.800 €,Rabljeno,Scott,2023,L,Aluminij,29 col,122,Enduro kolesa,28.08.2025,133
Prodam CUBE REACTION PRO 2021,950 €,Rabljeno,Cube,2021,XL,Aluminij,29 col,161,Prednje vzmetena / XC kolesa,19.08.2025,106
Prodam gorsko kolo,180 €,Rabljeno,Gary Fisher,2010 ali starejši,XL,Jeklo,26 col,63,Prednje vzmetena / XC kolesa,14.08.2025,136
Trek Session 9 X01 – R3,3.500 €,Rabljeno,Trek,2023,XL,Aluminij,Mullet (29 in 27.5),1190,Downhill in Freeride kolesa,06.10.2025,264
Pivot Mach 6,1.490 €,Rabljeno,Pivot,2019,M,Aluminij,27.5 col (650b),191,Trail in All-Mountain kolesa,29.07.2025,197
GIANT REIGN 1,1.300 €,Rabljeno,Giant,2016,M,Aluminij,27.5 col (650b),660,Enduro kolesa,10.10.2025,830
Scott gambler DH 10,550 €,Rabljeno,Scott,2013,S,Aluminij,26 col,326,Downhill in Freeride kolesa,01.10.2025,381
Trek slash 8 gen 6,2.500 €,Rabljeno,Ostalo,2024,M,Aluminij,Mullet (29 in 27.5),119,Gorska kolesa,12.10.2025,48
"Ragley mmmbop 27,5  L",800 €,Rabljeno,Ostalo,2022,L,Aluminij,27.5 col (650b),229,Enduro kolesa,07.08.2025,205
Ghost lector 3.9 karbon,950 €,Rabljeno,Ghost,2020,M,Karbon,29 col,203,Prednje vzmetena / XC kolesa,26.08.2025,209
Gt force29,1.980 €,Rabljeno,GT,2021,L,Aluminij,29 col,180,Enduro kolesa,06.10.2025,10
CUBE Reaction C:62 PRO,1.000 €,Rabljeno,Cube,2022,L,Karbon,29 col,144,Prednje vzmetena / XC kolesa,30.09.2025,70
Yt capra core 3 - custom,4.600 €,Rabljeno,YT,2022,L,Karbon,Mullet (29 in 27.5),788,Enduro kolesa,23.09.2025,106
Orbea Rallon,3.200 €,Rabljeno,Orbea,2022,L,Karbon,29 col,391,Enduro kolesa,12.10.2025,458
Specialized Demo,3.300 €,Rabljeno,Specialized,2020,L,Aluminij,27.5 col (650b),267,Downhill in Freeride kolesa,07.08.2025,821
Lapierre Zesty AM 327,1.500 €,Rabljeno,Lapierre,2018,M,Aluminij,27.5 col (650b),315,Trail in All-Mountain kolesa,05.10.2025,14
YT Izzo Core 2,1.600 €,Rabljeno,YT,2023,L,Karbon,29 col,1124,Trail in All-Mountain kolesa,29.09.2025,94
Scott gorsko kolo,600 €,Rabljeno,Scott,2010 ali starejši,M,Aluminij,29 col,188,Trail in All-Mountain kolesa,04.09.2025,51
"Orbea Occam H10, velikost L, letnik 2020",2.200 €,Rabljeno,Orbea,2020,L,Aluminij,29 col,982,Trail in All-Mountain kolesa,02.09.2025,61
Specialized Stumpjumper EVO LTD 2021,4.000 €,Rabljeno,Specialized,2021,L,Karbon,Mullet (29 in 27.5),751,Trail in All-Mountain kolesa,31.07.2025,144
FOCUS SAM,1.300 €,Rabljeno,Focus,2015,M,Aluminij,27.5 col (650b),751,Trail in All-Mountain kolesa,03.10.2025,204
Specialized stumpjumper evo expert 2022,1.800 €,Rabljeno,Specialized,2022,M,Karbon,29 col,390,Trail in All-Mountain kolesa,09.10.2025,754
SPECIALIZED ENDURO comp 650,1.400 €,Rabljeno,Specialized,2017,S,Aluminij,27.5 col (650b),446,Enduro kolesa,16.09.2025,276
Scott aspect 940,700 €,Rabljeno,Scott,2023,XL,Aluminij,29 col,152,Prednje vzmetena / XC kolesa,03.08.2025,704
Rocky Mountain Maiden,4.500 €,Rabljeno,Ostalo,2018,L,Karbon,26 col,731,Downhill in Freeride kolesa,04.09.2025,358
Orbea Rallon M10,2.900 €,Rabljeno,Orbea,2021,XL,Karbon,29 col,962,Enduro kolesa,26.07.2025,492
Radon swoop 10.0 HD 29 L/XL,1.399 €,Rabljeno,Ostalo,2020,XL,Aluminij,29 col,349,Enduro kolesa,11.10.2025,61
Specialized Rockhopper Expert 29,590 €,Rabljeno,Specialized,2021,XXL,Aluminij,29 col,340,Prednje vzmetena / XC kolesa,03.09.2025,52
Scott Spark 960,1.500 €,Rabljeno,Scott,2021,XL,Aluminij,29 col,1240,Trail in All-Mountain kolesa,31.07.2025,144
Yeti sb150,Po dogovoru,Rabljeno,Yeti,2020,L,Karbon,29 col,165,Enduro kolesa,07.10.2025,62
Kolo scott spark 950,1.150 €,Rabljeno,Scott,2020,L,Aluminij,29 col,127,Gorska kolesa,31.07.2025,236
"Skoraj novo! Ghost Kato EQ 27,5” – Shimano Acera – manj kot 100 km",450 €,Rabljeno,Ghost,2022,S,Aluminij,27.5 col (650b),681,Prednje vzmetena / XC kolesa,15.09.2025,33
Specialized Stumpjumper,2.100 €,Rabljeno,Specialized,2022,M,Karbon,29 col,345,Enduro kolesa,01.08.2025,782
Giant trance,1.550 €,Rabljeno,Giant,2019,M,Aluminij,27.5 col (650b),158,Enduro kolesa,05.08.2025,19
Rocky mountain altitude A50,2.650 €,Rabljeno,Ostalo,2024,M,Aluminij,29 col,264,Enduro kolesa,01.10.2025,74
SCOTT SPARK 900 WORLD CUP 2021,2.500 €,Rabljeno,Scott,2021,L,Karbon,29 col,127,Trail in All-Mountain kolesa,21.09.2025,204
Kona žensko (otroško) kolo velikost XS - 26 col,300 €,Rabljeno,Kona,2010 ali starejši,XS,Jeklo,26 col,158,Prednje vzmetena / XC kolesa,17.08.2025,81
Rocky Mountain Instinct C50 2025,5.270 €,Novo,Ostalo,2025,L,Karbon,29 col,2151,Trail in All-Mountain kolesa,10.10.2025,491
Cube carbon,4.500 €,Rabljeno,Cube,2025,L,Karbon,29 col,1102,Trail in All-Mountain kolesa,08.10.2025,27
Scott Spark 970 | 2020,1.100 €,Rabljeno,Scott,2020,M,Aluminij,29 col,143,Enduro kolesa,22.09.2025,84
Giant reign 2021 (XL),1.050 €,Rabljeno,Giant,2021,XL,Aluminij,29 col,95,Downhill in Freeride kolesa,28.07.2025,153
GIANT 27.5col,1.200 €,Rabljeno,Giant,2017,M,Aluminij,27.5 col (650b),113,Enduro kolesa,25.08.2025,235
"Cannondale JEKYLL enduro KARBON, polnovzmeteno vrhunsko kolo, NEON ORANGE",1.850 €,Rabljeno,Cannondale,2020,M,Karbon,27.5 col (650b),2319,Enduro kolesa,10.10.2025,51
"ORBEA Rallon M-LTD, velikost M",4.499 €,Rabljeno,Orbea,2024,M,Karbon,29 col,594,Enduro kolesa,01.10.2025,513
Giant Anthem Advanced Pro 29 1 Chameleon Saturn,3.000 €,Rabljeno,Giant,2022,L,Karbon,29 col,415,Gorska kolesa,07.10.2025,116
Nakamura gorsko kolo,150 €,Rabljeno,Nakamura,2021,XL,Jeklo,28 col (700c),72,Prednje vzmetena / XC kolesa,01.10.2025,20
Freeride/Enduro kolo Commencal Clash New Rockshock L,1.800 €,Rabljeno,Commencal,2023,L,Aluminij,27.5 col (650b),351,Enduro kolesa,24.09.2025,361
Giant Stance 29 1,1.200 €,Rabljeno,Giant,2021,S,Aluminij,29 col,74,Trail in All-Mountain kolesa,22.09.2025,161
Kolo Specialized Stumpjumper Alloy,1.500 €,Rabljeno,Specialized,2022,S,Aluminij,29 col,1828,Trail in All-Mountain kolesa,10.08.2025,314
Prodaja kolesa,400 €,Rabljeno,Ghost,2021,L,Aluminij,29 col,50,Gorska kolesa,08.08.2025,129
Scott Big Jon Fat Bike vel.L vilica Rockshox Bluto,999 €,Rabljeno,Scott,2017,L,Aluminij,26 col,273,Prednje vzmetena / XC kolesa,21.07.2025,260
LAPIERRE,1 €,Rabljeno,Lapierre,2021,L,Karbon,29 col,167,Trail in All-Mountain kolesa,09.09.2025,46
specialized enduro 2019 29’,800 €,Rabljeno,Specialized,2019,L,Aluminij,29 col,909,Enduro kolesa,21.07.2025,905
Trek slash 7,1.750 €,Rabljeno,Trek,2022,M,Aluminij,29 col,119,Enduro kolesa,07.10.2025,399
Giant Trance X 1 2021 M size,1.400 €,Rabljeno,Giant,2021,M,Aluminij,29 col,75,Gorska kolesa,21.07.2025,290
Pivot Firebird,1.850 €,Rabljeno,Pivot,2018,L,Karbon,27.5 col (650b),343,Trail in All-Mountain kolesa,26.09.2025,65
Specialized Enduro,2.600 €,Rabljeno,Specialized,2020,M,Karbon,29 col,81,Enduro kolesa,31.08.2025,317
